;faturamentoBruto;margemBruta;restricoes;cluster
0;24074322,19699928;11250000000,0;0;3
1;419804,44798285136;133030333,33333333;0;0
2;8705282,501310395;1350911166,6666667;0;3
3;303014,60892234294;153035833,33333334;0;0
4;8032,5122406583205;13306333,333333334;0;2
5;6607,6849453918685;1885916,6666666667;0;2
6;39430,87376794709;8988333,333333334;0;2
7;1232563,882920203;574098416,6666666;0;3
8;1692467,1238124312;832007333,3333334;0;3
9;1762696,6505457954;499563250,0;0;3
10;2125738,4323733025;962103333,3333334;0;3
11;131219,099328261;85767750,0;0;0
12;4833904,075667871;2183870583,3333335;0;3
13;89954,56468630914;17666750,0;0;5
14;44985,88031536778;18444416,666666668;0;5
15;3015,0222561003866;115083,33333333333;0;2
16;2312075,8356711306;0,0;0;2
17;62748,717709720426;28796833,333333332;0;5
18;29606,68741759185;14473500,0;0;2
19;132393,1524339754;65111666,666666664;0;5
20;23386,197820868387;9714500,0;0;2
21;617866,4760892284;314275666,6666667;0;3
22;2738753,5026412252;1233839083,3333333;0;3
23;923188,780753598;308454750,0;0;3
24;267834,5726166089;73708416,66666667;0;5
25;2237968,0502714594;641117166,6666666;0;3
26;6091442,488475797;1735251166,6666667;0;3
27;119526,28701690059;59109250,0;0;5
28;751565,6605023909;179731833,33333334;0;0
29;1432431,7717904288;547226416,6666666;0;3
30;113558,29120417184;54864333,333333336;0;5
31;24360921,270773083;12416666666,666666;0;3
32;580706,8999809386;253364750,0;0;3
33;471275,9220381833;70565583,33333333;0;5
34;35427,65790547463;81081750,0;0;0
35;191062,84882621016;51738833,333333336;0;5
36;1116194,4847009208;41247750,0;1;1
37;221111,6153150981;82280166,66666667;0;0
38;1139543,8545408093;483616666,6666667;0;3
39;1382157,9952643975;670168833,3333334;0;3
40;13901,774672471991;5426333,333333333;0;2
41;578854,7534666754;234637916,66666666;1;4
42;2770474,861324657;1429781083,3333333;0;3
43;38963,43067862202;11235000,0;0;2
44;384176,17072573496;96504750,0;0;0
45;1341967,4906514129;599976333,3333334;0;3
46;13901,774672471991;5426333,333333333;0;2
47;292704,3505428674;162347583,33333334;0;0
48;12117,12224008253;4635333,333333333;0;2
49;223740,4453192883;76414333,33333333;1;4
50;405393,816654894;128786250,0;0;0
51;309667,8631204649;119086916,66666667;0;0
52;183224,07755942293;74556000,0;1;4
53;145257,4384593862;71782250,0;0;5
54;161266,43282178006;42615500,0;0;5
55;7885,0570172017;0,0;0;2
56;30236202,283136006;7682833333,333333;0;3
57;227181,78369762722;90264666,66666667;0;0
58;120697,61743141412;70079500,0;0;5
59;49050,571679164714;7030166,666666667;0;2
60;69865,83250874522;10284000,0;0;2
61;1413984,535807904;629843500,0;1;4
62;71047,76708898837;12280333,333333334;0;2
63;184337,94485964483;9380916,666666666;0;2
64;66731,87163702871;0,0;1;1
65;975722,9641744833;340472166,6666667;0;3
66;4654219,783268629;1710776750,0;0;3
67;763510,1068005249;270199416,6666667;0;3
68;424498,51091265556;130621000,0;0;0
69;13523,60719462746;6008083,333333333;0;2
70;6534825,87215663;1389829916,6666667;0;3
71;91883,08985373304;36800250,0;0;5
72;239142,27954389236;134714000,0;0;0
73;3071725,3096483853;1430508666,6666667;0;3
74;331204,0639201234;141025083,33333334;0;0
75;159055,3209676152;21755333,333333332;0;5
76;2449,562283544677;1023500,0;0;2
77;199340,2599754082;12433000,0;0;2
78;48876,17614277336;34899000,0;0;5
79;20406578,57515313;8767347000,0;0;3
80;21309,500932303425;2741416,6666666665;0;2
81;69501,56508597873;24165416,666666668;0;5
82;55107,69980383711;19259916,666666668;0;5
83;81999,8640941804;25177000,0;1;1
84;608886,7539097477;238522500,0;0;3
85;222660,39670977174;28350083,333333332;0;5
86;848569,7026063143;195618750,0;1;4
87;235955,29784352772;71340083,33333333;0;5
88;762622,939367658;378413000,0;0;3
89;69233,30835292644;37801083,333333336;0;5
90;63281,791986939694;5333333,333333333;1;1
91;15790,749167715112;277750,0;0;2
92;486226,64932066743;186096833,33333334;0;0
93;20570,791819651455;13831583,333333334;1;1
94;37147,109048580554;3084333,3333333335;0;2
95;8166,497307647573;6741250,0;0;2
96;60365,07321314372;13640416,666666666;0;2
97;456338,091714019;150753500,0;0;0
98;43343,52432310702;17988583,333333332;0;5
99;206327,2587949397;69515333,33333333;0;5
100;369646,4574826246;106633583,33333333;0;0
101;301458,662550825;98259166,66666667;0;0
102;1793843,5213858476;693124166,6666666;0;3
103;28477,343767386188;26016750,0;0;5
104;13867,66938269291;0,0;0;2
105;118321,71110982931;27349750,0;0;5
106;27940,830301281632;9779666,666666666;0;2
107;137629,7474104334;50965250,0;0;5
108;51712,93377498644;15941083,333333334;1;1
109;955792,2913861056;454260166,6666667;0;3
110;221526,75407345945;21587750,0;0;5
111;12013,946573523963;5063416,666666667;0;2
112;137443,02811386975;47693750,0;0;5
113;57014,73004072799;34039000,0;0;5
114;11774,349747849066;3635083,3333333335;0;2
115;152460,53298054315;0,0;0;2
116;70910,7727317245;29560666,666666668;0;5
117;97941,36437470054;35991833,333333336;0;5
118;215329,90890032236;86765583,33333333;0;0
119;3939377,63838378;949747666,6666666;0;3
120;17529545,748300765;8387000000,0;0;3
121;68275,63754791129;20061000,0;1;1
122;18932,878113034178;0,0;0;2
123;281498,1834587749;41886833,333333336;0;5
124;86383,25362801382;43583833,333333336;0;5
125;56259,25488226025;19903583,333333332;0;5
126;5068,647919226557;2257833,3333333335;0;2
127;5835,300441571475;2386500,0;0;2
128;50602,50566364985;25185583,333333332;0;5
129;81308,01393009046;28448166,666666668;0;5
130;236171,9667433007;90939916,66666667;0;0
131;69492,82381422863;34841750,0;0;5
132;157078,36055672352;76870000,0;0;5
133;6685,926492532116;3120583,3333333335;1;1
134;10597255,252763802;4400272000,0;0;3
135;221843,30275044264;66071333,333333336;0;5
136;26398,06748715726;13120833,333333334;0;2
137;1416130,8762713962;547635166,6666666;0;3
138;177563,8891519273;57484916,666666664;0;5
139;194611,94845628805;100148250,0;0;0
140;636145,7650145214;262436166,66666666;0;3
141;2690112,9109370937;1202402500,0;0;3
142;475759,1913492269;137188250,0;0;0
143;4378,660649116132;7437583,333333333;0;2
144;72470,87478981218;38479750,0;0;5
145;577909,1198227588;207033166,66666666;0;0
146;220772,7119103606;89018833,33333333;0;0
147;718583,4091938912;314095583,3333333;0;3
148;29249,155073059035;13080583,333333334;0;2
149;39428,72427489378;23986833,333333332;0;5
150;128885,60966959472;50414750,0;1;1
151;27817,592699558896;13070583,333333334;0;2
152;113851,94792343686;33074299,166666668;0;5
153;65428,705648579235;19208666,666666668;0;5
154;53967,60868836493;26255083,333333332;0;5
155;271291,8172435423;120742916,66666667;0;0
156;381011,97365173534;164861166,66666666;0;0
157;1143,673603894353;700416,6666666666;0;2
158;6206,876140719208;-106715,4;0;2
159;415331,2096393898;176205333,33333334;0;0
160;288153,4438504132;137053916,66666666;0;0
161;64518,8968888843;7634500,0;0;2
162;2332062,9684770415;1218343583,3333333;0;3
163;1862953,5921370515;472683750,0;0;3
164;3793,907400112117;1442287,3333333333;0;2
165;147118,89944354704;71427083,33333333;0;5
166;40553768,938992836;16083333333,333334;0;3
167;2594224,885626446;1058661833,3333334;0;3
168;33839,612437694006;26626416,666666668;0;5
169;45546,18150459557;24548250,0;0;5
170;2840053,521561481;1092750000,0;0;3
171;2457436,4497970752;1053336833,3333334;0;3
172;2511,6109830167047;1087583,3333333333;0;2
173;247026,90666248344;106433333,33333333;0;0
174;20589,85065805741;4060000,0;0;2
175;60396,45581172195;27359166,666666668;0;5
176;11084642,628333254;5861893583,333333;0;3
177;596437,7499422351;285223416,6666667;0;3
178;12359,298457421393;5126416,666666667;0;2
179;101963,92567465272;75054916,66666667;0;5
180;15855,233959314217;8862833,333333334;0;2
181;1827680,124533267;178863333,33333334;0;0
182;13560902,905295791;5095285833,333333;0;3
183;5395466,444119793;2848995083,3333335;0;3
184;127494,45776549669;41851333,333333336;0;5
185;12415041,977270396;6681000000,0;0;3
186;9771,055754261828;3862524,25;0;2
187;50189,94629695246;23706000,0;0;5
188;6830227,406582783;2911718250,0;0;3
189;113784,27457384249;66503416,666666664;0;5
190;57856,75811947542;10695916,666666666;0;2
191;257313,2340192989;126367000,0;0;0
192;136345,2103617792;49251583,333333336;0;5
193;1194,6882390260894;139583,33333333334;0;2
194;249783,7031531136;117183583,33333333;0;0
195;585331,176036279;288284666,6666667;0;3
196;5940339,002109573;2661083333,3333335;0;3
197;1362598,7548756306;548844166,6666666;0;3
198;129249,59049328744;67114250,0;0;5
199;161330,7743138423;39149916,666666664;0;5
200;157309,93260833275;51775833,333333336;0;5
201;1080735,444196868;382212666,6666667;0;3
202;162533,20072786027;61805500,0;0;5
203;4350,8605389600725;1892333,3333333333;0;2
204;95745,15567237191;17342833,333333332;0;5
205;4021667,1108420095;1714882000,0;0;3
206;50353,30776900353;32240333,333333332;0;5
207;965755,3349877042;453504750,0;1;4
208;312935,52246009686;73064833,33333333;0;5
209;1128,770452058115;760250,0;0;2
210;163999,15499021325;68778833,33333333;0;5
211;84104,93429104898;39160083,333333336;0;5
212;2780,7275132903037;1097666,6666666667;0;2
213;195609,45653255776;55983666,666666664;0;5
214;1321044,7551691672;636169166,6666666;0;3
215;1105526,4073778386;293447333,3333333;0;3
216;657236,8774526092;353048916,6666667;0;3
217;320418,7675758677;136667000,0;1;4
218;248991,97321181349;95273666,66666667;0;0
219;95825,83331163922;17368583,333333332;0;5
220;1377798,823352298;592362166,6666666;0;3
221;1416176,1589250525;547759166,6666666;0;3
222;75386,59046684996;6332333,333333333;0;2
223;23357824,51256478;7586448833,333333;1;3
224;222964,33502750887;108629000,0;0;0
225;300372,02216261165;124588500,0;0;0
226;37936,54619729049;21704416,666666668;0;5
227;24934119,418320686;7927166666,666667;0;3
228;1211482,944749234;663906500,0;0;3
229;3890,1525278686877;1371250,0;0;2
230;73387,99182588836;51064083,333333336;0;5
231;61265,280903867235;31853583,333333332;0;5
232;77095,43744422623;41927250,0;0;5
233;85927,1312021028;28567083,333333332;0;5
234;580994,215552397;187843333,33333334;0;0
235;20198,069724208624;5928333,333333333;1;1
236;39606,41570063354;14272916,666666666;0;2
237;118548,12437811062;47006083,333333336;1;1
238;976794,7014108604;487055500,0;1;4
239;4830,627388457416;1549333,3333333333;0;2
240;408802,76933789643;128378750,0;1;4
241;17525,819960341705;13277166,666666666;0;2
242;16207,89411959288;3588250,0;0;2
243;435741,6492772649;173016750,0;0;0
244;671644,9293889026;303416666,6666667;0;3
245;1109114,4844819496;554387666,6666666;0;3
246;1613060,5514372932;646035166,6666666;0;3
247;138645,7411269615;84655333,33333333;0;0
248;519848,1598632196;190506250,0;0;0
249;193964,8077477068;69098666,66666667;0;5
250;55311,3284457534;28996666,666666668;0;5
251;1382649,9425745301;646944000,0;0;3
252;364681,5584281042;132680166,66666667;0;0
253;150852,85547620902;60808750,0;0;5
254;1133881,0867416495;203913250,0;0;0
255;457886,44321008195;177732250,0;0;0
256;6811600,186381928;3169416666,6666665;0;3
257;139790,84772622472;58436083,333333336;0;5
258;1877475,1373065591;852842916,6666666;0;3
259;3725275,376615968;1404058916,6666667;0;3
260;9866,1731146631;4041333,3333333335;0;2
261;211386,44894473173;74425916,66666667;0;5
262;250203,14089758156;103300750,0;0;0
263;22730,02924146327;10386416,666666666;0;2
264;44604,84684678551;16674083,333333334;0;5
265;106253,31071228831;43183666,666666664;0;5
266;12345,398402343364;5088583,333333333;0;2
267;145649,64929184565;54433166,666666664;0;5
268;875379,6129624845;465345333,3333333;0;3
269;1342287,908415892;560935750,0;0;3
270;466484,415423296;232542583,33333334;0;3
271;61500,292144361745;27115583,333333332;0;5
272;17435,39795256607;9259416,666666666;0;2
273;83071,60133055753;37127416,666666664;1;1
274;31241,917697081375;13984521,416666666;0;2
275;6521,561923722841;4058416,6666666665;1;1
276;167991,6233874192;65187916,666666664;0;5
277;7655,634458645772;3615000,0;1;1
278;116452,51195067656;48384000,0;0;5
279;60358,05153583625;23650916,666666668;0;5
280;368866,3348038124;187361250,0;0;0
281;881744,2590273254;419015261,0;0;3
282;376014,5456023416;175255750,0;0;0
283;237826,93309480752;117765083,33333333;0;0
284;19844,9796653193;14087000,0;0;2
285;1016108,0695585603;391176000,0;0;3
286;9232,215963475452;5349583,333333333;0;2
287;293064,0323804535;87382333,33333333;0;0
288;28129,412491824794;13282583,333333334;0;2
289;11054997,106741166;3879965333,3333335;0;3
290;26518,43909814226;8770500,0;0;2
291;80610,43178452502;33883333,333333336;0;5
292;68109,98328327003;36882833,333333336;0;5
293;55949,87318831494;15341608,916666666;0;2
294;13364,831307756775;5474833,333333333;0;2
295;305046,30975632544;134037250,0;0;0
296;5395466,444119793;2848995083,3333335;0;3
297;97991,23261353718;49753416,666666664;0;5
298;1498710,2436927473;442533666,6666667;0;3
299;278095,24935632164;44755166,666666664;0;5
300;924508,1395897157;214590250,0;0;0
301;118977,73638969753;53089333,333333336;0;5
302;111314,36375605986;47169000,0;0;5
303;7664,94892854342;3702916,6666666665;0;2
304;560266,7973389281;241719000,0;1;4
