faturamentoBruto;periodoDemonstrativoEmMeses;margemBruta;restricoes
1,68E+11;12;1,35E+11;0
2929559000;12;1596364000;0
60748853000;12;16210934000;0
2114554000;12;1836430000;0
56054000;12;159676000;0
46111000;12;22631000;0
275164000;12;107860000;0
0;12;0;0
8601311000;12;6889181000;0
11810695000;12;9984088000;0
12300784000;12;5994759000;0
14834231000;12;11545240000;0
915698000;12;1029213000;0
0;12;0;1
33732866000;12;26206447000;0
0;12;1278000;0
627738000;12;212001000;0
313929000;12;221333000;0
0;12;0;0
21040000;12;1381000;0
16134566000;12;0;0
437885000;12;345562000;0
206607000;12;173682000;0
923891000;12;781340000;0
941000;12;0;1
163198000;12;116574000;0
4311713000;12;3771308000;0
19112089000;12;14806069000;0
6442371000;12;3701457000;0
0;12;0;1
1869054000;12;884501000;0
15617413000;12;7693406000;0
42508459000;12;20823014000;0
0;12;0;0
0;12;0;1
2723000;12;10244000;0
834101000;12;709311000;0
5244718000;12;2156782000;0
9996067000;12;6566717000;0
792454000;12;658372000;0
1,70E+11;12;1,49E+11;0
4052399000;12;3040377000;0
3288747000;12;846787000;0
247228000;12;972981000;0
1333311000;12;620866000;0
7789240000;12;494973000;1
1543003000;12;987362000;0
7952181000;12;5803400000;0
9645237000;12;8042026000;0
97012000;12;65116000;0
4039474000;12;2815655000;1
0;12;0;0
19333453000;12;17157373000;0
271902000;12;134820000;0
2680931000;12;1158057000;0
9364772000;12;7199716000;0
97012000;12;65116000;0
2042605000;12;1948171000;0
84558000;12;55624000;0
1561348000;12;916972000;1
2828996000;12;1545435000;0
2160983000;12;1429043000;0
1278609000;12;894672000;1
0;12;0;0
1013663000;12;861387000;0
1125380000;12;511386000;0
55025000;12;0;0
2,11E+11;12;92194000000;0
1585363000;12;1083176000;0
842275000;12;840954000;0
342294000;12;84362000;0
487551000;12;123408000;0
9867335000;12;7558122000;1
495799000;12;147364000;0
1286382000;12;112571000;0
465681000;12;0;1
6808975000;12;4085666000;0
32478959000;12;20529321000;0
5328071000;12;3242393000;0
2962316000;12;1567452000;0
94373000;12;72097000;0
45602561000;12;16677959000;0
641196000;12;441603000;0
139069000;0;134714000;0
21435696000;12;17166104000;0
2311271000;12;1692301000;0
1109950000;12;261064000;0
17094000;12;12282000;0
1391074000;12;149196000;0
0;12;0;0
341077000;12;418788000;0
11867088000;0;8767347000;0
148706000;12;32897000;0
485009000;12;289985000;0
384563000;12;231119000;0
572227000;12;302124000;1
4249049000;12;2862270000;0
1553811000;12;340201000;0
5921650000;12;2347425000;1
1646588000;12;856081000;0
443490000;0;378413000;0
483137000;12;453613000;0
441605000;12;64000000;1
110194000;12;3333000;0
3393079000;12;2233162000;0
143551000;12;165979000;1
259227000;12;37012000;0
665070;12;0;0
56989000;12;80895000;0
421251000;12;163685000;0
3184505000;12;1809042000;0
302468000;12;215863000;0
1439832000;12;834184000;0
2579537000;12;1279603000;0
2103696000;12;1179110000;0
12518139000;12;8317490000;0
198726000;12;312201000;0
47366;12;27930;0
96774000;12;0;0
